Freq /Hz, Zr , Zi ; Name: 50_-5000
8.963211E+1;2.918660E+3;-4.281340E+1
8.294696E+1;2.916570E+3;-4.526960E+1
7.676041E+1;2.922040E+3;-4.473420E+1
7.103528E+1;2.916930E+3;-3.951910E+1
6.573716E+1;2.918710E+3;-4.132510E+1
6.083420E+1;2.920270E+3;-4.030310E+1
5.629692E+1;2.921340E+3;-3.820810E+1
5.209805E+1;2.926310E+3;-2.685360E+1
4.821235E+1;2.920440E+3;-3.424550E+1
4.461646E+1;2.919470E+3;-1.859490E+1
4.128877E+1;2.927500E+3;-3.302400E+1
3.820927E+1;2.925580E+3;-3.011870E+1
3.535946E+1;2.920040E+3;-2.130010E+1
